Sequence,survey.status,dev.status,ecosystem,my.eco.role,my.eco.years,value.eco.stability,value.eco.innovation,value.eco.replicability,value.eco.compatibility,value.eco.rapid.access,value.eco.quality,value.eco.commerce,value.eco.community,value.eco.openness,value.eco.curation,value.eco.fun,value.eco.confidence,power.eco.endusers,power.eco.devs,power.eco.leaders,power.eco.gatekeepers,power.eco.sponsors,power.fair,health.eco.not.recruit,health.eco.leave,health.eco.not.innov,health.eco.isolated,health.eco.not.diverse,health.eco.unstable,health.eco.similar,health.eco.low.quality,health.eco.not.rapid,health.eco.dllhell,health.eco.not.democratic,health.eco.not.commercial,my.package.named,my.is.submitted,my.has.revdeps,package.default,value.my.stability,value.my.innovation,value.my.replicability,value.my.compatibility,value.my.rapid.access,value.my.quality,value.my.commerce,value.my.community,value.my.openness,value.my.curation,value.my.fun,change.dep.freq,change.pkg.freq,rel.batch,rel.backcompat.design,rel.fixed.schedule,sync.sched,rel.backcompat.extra.time,upgr.backport,rel.constrained.from.changes,know.users.needs,mon.semver.eco,mon.versionless.updates.eco,sync.sched.eco,gate.strict.standards.eco,mon.versionless.updates,mon.semver,mon.change.log,sync.headsup,rework.migration.guide,rework.assist.user,sync.liaison,sync.liaison.code,sync.liaison.freq,mon.internal.media,mon.external.media,mon.personal.contact,mon.tool.notify,mon.something.breaks,upgr.packrat,upgr.packrat.eco,abst.research,abst.dep.aversion,upgr.dont.update,abst.shim,abst.clone,rework.hell,education,oss.experience,dev.experience,motive.intq1.satisfaction,motive.intq2.goodat,motive.intq3.fun,motive.intq4.achieve,motive.int,motive.staq1.skill,motive.staq2.work.status,motive.staq3.opportunity,motive.staq4.cmnty.status,motive.sta,motive.uv,motive.uvq1.fix.bug,motive.uvq2.add.feature,motive.job
557,abandoned,user,Python/PyPi,submitter,<5 years,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
558,abandoned,developer,Python/PyPi,lead,<5 years,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
559,abandoned,developer,Go,lead,5+ years,Very Important,Somewhat Important,Not Important,Extremely important,Very Important,Very Important,Not Important,Very Important,Not Important,Not Important,Important,Very confident,Low influence,Medium influence,Highest influence,I don't know/Not Applicable,Highest influence,Strongly agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
560,abandoned,developer,other,lead,<5 years,Extremely important,Community opposes this value,Extremely important,Extremely important,Somewhat Important,Extremely important,Very Important,Extremely important,Extremely important,Not Important,Extremely important,Very confident,Lowest influence,High influence,High influence,I don't know/Not Applicable,Highest influence,Neither agree nor disagree,I don't know,Strongly disagree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,I don't know,Somewhat disagree,Somewhat disagree,Somewhat disagree,FALSE,self-published,no rev dependencies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
561,abandoned,developer,Haskell (Cabal/Hackage),lead,<5 years,Not Important,Important,Not Important,Not Important,Important,Not Important,Not Important,Not Important,Not Important,Important,Not Important,Confident,Lowest influence,High influence,Highest influence,I don't know/Not Applicable,I don't know/Not Applicable,Somewhat agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
562,abandoned,developer,Python/PyPi,lead,<5 years,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
563,abandoned,user,Python/PyPi,user,<5 years,Very Important,Extremely important,Somewhat Important,Very Important,Important,Extremely important,Very Important,Very Important,Very Important,Very Important,Extremely important,Confident,Medium influence,Highest influence,Highest influence,High influence,Medium influence,Somewhat agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
564,abandoned,developer,other,committer,<5 years,Somewhat Important,Important,Not Important,Not Important,Very Important,Not Important,Somewhat Important,Somewhat Important,Not Important,Not Important,Important,Slightly confident,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
565,abandoned,developer,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
566,abandoned,developer,Python/PyPi,central,5+ years,Very Important,Important,Very Important,Extremely important,Important,Extremely important,Somewhat Important,Very Important,Somewhat Important,Important,Extremely important,Slightly confident,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
567,finished,user,Haskell (Cabal/Hackage),user,<5 years,Important,Not Important,Important,Important,Important,Very Important,Important,Very Important,Very Important,Very Important,Extremely important,Very confident,Lowest influence,High influence,High influence,Highest influence,Low influence,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat disagree,Strongly disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,TRUE,self-published,no rev dependencies,NA,Somewhat Important,Important,Important,Very Important,Very Important,Very Important,Somewhat Important,Very Important,Important,Very Important,Extremely important,Less than once a year,Skipped,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,NA,NA,NA,NA,NA,NA,No,No,Never,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Version range,Version range,Somewhat disagree,Strongly agree,Somewhat disagree,Somewhat disagree,Strongly disagree,Strongly agree,Degree,<5 years,<5 years,Great importance,Great importance,Great importance,Great importance,14.5,Great importance,(mid importance),(mid importance),(mid-hi importance),10.29,4.75,(mid-low importance),Great importance,(mid importance)
568,abandoned,developer,Python/PyPi,lead,5+ years,Important,Important,Somewhat Important,Very Important,Important,Very Important,Not Important,Very Important,Important,Not Important,Not Important,Slightly confident,Medium influence,Highest influence,High influence,I don't know/Not Applicable,High influence,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
569,abandoned,developer,Python/PyPi,lead,5+ years,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
570,abandoned,developer,Go,central,<5 years,Extremely important,Extremely important,Very Important,Very Important,Extremely important,Important,I don't know,Extremely important,Extremely important,Important,Important,Slightly confident,Medium influence,High influence,Highest influence,I don't know/Not Applicable,I don't know/Not Applicable,Neither agree nor disagree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
571,abandoned,user,Rust/Cargo,user,<5 years,Extremely important,Very Important,Very Important,Very Important,Somewhat Important,Extremely important,Somewhat Important,Important,Important,Extremely important,Extremely important,Confident,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
572,abandoned,developer,Python/PyPi,lead,5+ years,Important,Important,Important,Important,Important,Important,Not Important,Important,Very Important,Important,Very Important,Slightly confident,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
573,abandoned,developer,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
574,abandoned,developer,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
575,finished,developer,Haskell (Cabal/Hackage),central,5+ years,Important,Extremely important,Extremely important,Extremely important,Important,Extremely important,Very Important,Extremely important,Somewhat Important,Extremely important,Very Important,Very confident,Highest influence,Highest influence,High influence,Lowest influence,Lowest influence,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,TRUE,in repo,has rev dependencies,installable package,Very Important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Very Important,Extremely important,Somewhat Important,Extremely important,Extremely important,Less than once a year,Several times a year,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Yes,Yes,Several times a week,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Version range,Version range,Strongly agree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat disagree,Strongly disagree,Degree,5+ years,5+ years,Great importance,Great importance,Great importance,Great importance,14.5,Great importance,Great importance,(mid-hi importance),Great importance,13.11,5.75,(mid importance),Great importance,Little importance
576,abandoned,developer,Haskell (Cabal/Hackage),lead,<5 years,Important,Somewhat Important,Somewhat Important,Important,I don't know,Somewhat Important,Not Important,I don't know,Somewhat Important,Somewhat Important,Not Important,Slightly confident,Low influence,Highest influence,Low influence,Lowest influence,Medium influence,Somewhat disagree,I don't know,Somewhat disagree,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat agree,TRUE,in repo,has rev dependencies,installable package,Very Important,Very Important,Not Important,Very Important,Extremely important,Very Important,Very Important,Very Important,Not Important,Important,Not Important,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
577,abandoned,developer,Python/PyPi,central,5+ years,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
578,abandoned,developer,Haskell (Stack/Stackage),submitter,<5 years,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Somewhat Important,Somewhat Important,Extremely important,Extremely important,Very confident,Medium influence,High influence,High influence,Highest influence,Medium influence,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,TRUE,in repo,has rev dependencies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
579,abandoned,user,Perl/CPAN,submitter,5+ years,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
580,finished,developer,Haskell (Stack/Stackage),central,<5 years,Extremely important,Somewhat Important,Extremely important,Very Important,Not Important,Somewhat Important,Important,Important,I don't know,Extremely important,Important,Very confident,High influence,Medium influence,High influence,Low influence,Low influence,Somewhat agree,Strongly agree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,TRUE,in repo,has rev dependencies,default package,Very Important,Very Important,Very Important,Not Important,Important,Important,Important,Important,Important,Important,Important,Several times a year,Less than once a year,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Yes,Yes,Less than once a year,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,snapshot,Exact version number,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly agree,Degree,<5 years,<5 years,(mid-hi importance),(mid importance),(mid-hi importance),(mid importance),10.15,(mid importance),(mid importance),(mid-hi importance),(mid-low importance),8.37,4.65,(mid importance),(mid importance),(mid-low importance)
581,finished,developer,R/CRAN,central,5+ years,Extremely important,Not Important,Extremely important,Somewhat Important,Extremely important,Extremely important,Not Important,Not Important,Important,Very Important,Not Important,Very confident,Lowest influence,Medium influence,Highest influence,Highest influence,Medium influence,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Strongly agree,TRUE,in repo,has rev dependencies,default package,Extremely important,Very Important,Extremely important,Extremely important,Extremely important,Extremely important,Important,Extremely important,Important,Extremely important,Important,Less than once a year,Less than once a year,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Yes,Yes,Several times a month,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Version range,Just name,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Degree,5+ years,5+ years,Great importance,(mid-hi importance),(mid-hi importance),Great importance,13.09,(mid-hi importance),Great importance,(mid-hi importance),(mid-hi importance),11.78,7.75,Great importance,Great importance,Great importance
582,finished,user,other,lead,5+ years,Very Important,Not Important,Very Important,Very Important,Somewhat Important,Not Important,Not Important,Important,Very Important,Important,Somewhat Important,Confident,Highest influence,High influence,Medium influence,Low influence,Lowest influence,Strongly agree,Strongly disagree,Strongly disagree,I don't know,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,TRUE,in repo,no rev dependencies,NA,Extremely important,Important,Very Important,Very Important,Important,Very Important,Somewhat Important,Very Important,Important,Important,Very Important,Less than once a year,Skipped,NA,NA,NA,NA,NA,NA,NA,NA,I don't know,Strongly disagree,Somewhat disagree,Strongly disagree,NA,NA,NA,NA,NA,NA,No,No,Never,Neither agree nor disagree,Strongly agree,Somewhat disagree,Strongly disagree,Strongly agree,Just name,Just name,Strongly agree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,None,5+ years,5+ years,Great importance,(mid-hi importance),Great importance,(mid-hi importance),13.05,(mid importance),(mid importance),(mid-low importance),(mid-hi importance),8.25,6.75,(mid-hi importance),Great importance,(mid-low importance)
583,finished,user,Haskell (Stack/Stackage),committer,<5 years,Very Important,Not Important,Important,Extremely important,Not Important,Important,Not Important,Not Important,Somewhat Important,Extremely important,Very Important,Slightly confident,Medium influence,Medium influence,I don't know/Not Applicable,I don't know/Not Applicable,I don't know/Not Applicable,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree,I don't know,Somewhat agree,TRUE,in repo,no rev dependencies,NA,Somewhat Important,Very Important,Not Important,Important,Important,Very Important,Not Important,Important,Important,Important,Very Important,Never,Skipped,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat agree,Strongly disagree,I don't know,Strongly disagree,NA,NA,NA,NA,NA,NA,Yes,No,Several times a month,Strongly disagree,Somewhat disagree,Strongly disagree,Skipped,Strongly agree,Version range,Version range,Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,None,<5 years,<5 years,Great importance,Great importance,Great importance,Great importance,14.5,(mid importance),(mid-low importance),(mid-hi importance),(mid importance),8.35,6.75,(mid-hi importance),Great importance,Little importance
584,finished,developer,R/CRAN,central,5+ years,Very Important,Community opposes this value,Very Important,Very Important,Somewhat Important,Very Important,Not Important,Important,Somewhat Important,Extremely important,Very Important,Confident,Medium influence,High influence,Highest influence,High influence,Lowest influence,Somewhat agree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,TRUE,in repo,has rev dependencies,installable package,Extremely important,Not Important,Extremely important,Extremely important,Somewhat Important,Extremely important,Not Important,Important,Somewhat Important,Extremely important,Somewhat Important,Less than once a year,Never,Strongly agree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Yes,No,Several times a year,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly agree,Strongly disagree,Version range,Version range,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Coursework,5+ years,5+ years,(mid-hi importance),(mid-hi importance),(mid-hi importance),(mid importance),10.89,(mid-low importance),(mid importance),(mid-low importance),(mid importance),6.92,7.75,Great importance,Great importance,(mid-hi importance)
585,abandoned,developer,other,lead,5+ years,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
586,finished,developer,R/CRAN,lead,<5 years,Somewhat Important,Somewhat Important,Very Important,Important,Extremely important,Very Important,Not Important,Very Important,Somewhat Important,Not Important,Not Important,Confident,Lowest influence,Medium influence,High influence,Highest influence,High influence,Neither agree nor disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,TRUE,in repo,has rev dependencies,installable package,Important,Somewhat Important,Somewhat Important,Somewhat Important,Very Important,Extremely important,Very Important,Very Important,Very Important,Extremely important,Very Important,Several times a year,Less than once a year,Strongly agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Yes,No,Several times a month,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Version range,Version range,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Strongly disagree,None,<5 years,5+ years,Great importance,Great importance,Great importance,Great importance,14.5,Great importance,(mid-hi importance),Great importance,(mid-hi importance),12.47,6.75,(mid-hi importance),Great importance,(mid-hi importance)
